Company,MSE,MAE,R2,MAPE
AVIA.TA,20015.81705,43.71025671,0.498988789,0.472618243
AVIV.TA,535.5044349,19.46207201,0.990258542,0.01019397
AVRT.TA,353.2228589,9.282138768,-0.174242741,14.44117035
AILN.TA,326.9366355,13.8994455,-7.372592992,0.313691004
AYAL.TA,33077.53802,104.4107013,0.947516008,0.027004111
AZRM.TA,763.6226548,23.45084402,0.977716064,0.011231868
AZRG.TA,56559.11501,172.9603764,0.986151118,0.006116837
BCOM.TA,658.5330482,15.67776907,0.993626818,0.009353676
BKFR.TA,70.14398233,6.755486774,0.984216677,0.004654942
BVGG.TA,74.21939049,5.910792564,0.960168994,0.006751135
BRAN.TA,4937.389574,60.75506555,0.736999543,0.041763263
BRKT.TA,10.09999784,2.67964864,0.956093076,0.012635929
BVC.TA,5.94013402,1.582800732,0.896009388,0.018378631
ORL.TA,0.761807168,0.751144799,0.98007801,0.007550485
BHNY.TA,74440.43732,152.2563174,-37.94421302,0.714715199
BSEN.TA,46036955.59,4848.496265,0.34957789,0.121750762
BEZQ.TA,18.52059138,3.577667504,0.99472199,0.006523182
BIG.TA,89732.87437,220.1970792,0.997295971,0.004288076
BIGT.TA,53.70194695,5.534952927,0.820575833,0.041978728
BKRY.TA,29.09454264,4.008733805,0.887120373,0.011673615
BIOV.TA,1451.073115,31.46509223,-346.2020755,1.082975166
BOLT.TA,74.942391,6.381852119,0.991812819,0.012110115
BLRX.TA,31.18020288,2.43059525,-0.237320416,0.758118225
BIMT.TA,0.844696813,0.65543032,0.966904288,0.02323939
BIRM.TA,1109.873898,23.30827609,0.978309368,0.019951063
BLRN.TA,2624.301371,40.91706289,-61.50296542,0.768743335
BLITZ-M.TA,36172.41427,133.822513,-1.360301232,0.348112563
BLSR.TA,367713.4981,493.7417281,0.944808619,0.014743981
BOTI.TA,3241.67409,45.06558479,0.993628949,0.010839486
BONS.TA,0.411793856,0.382599268,0.956013635,0.028268303
BCNV-M.TA,1748959.151,790.9775384,0.984679085,0.850005155
BWAY.TA,739.5385382,21.04681478,0.955459704,0.01150814
BRAM.TA,16.71758305,2.240655045,0.912190949,0.014193106
BRND.TA,19.71069913,3.942891628,0.976856363,0.014019242
BRIL.TA,1346.461212,29.08091241,0.987398869,0.013711338
BRMG.TA,1200.171288,30.56926609,0.983070375,0.019270299
BBLS.TA,90.87282498,6.648288355,-4.550655708,0.190124557
BLGO.TA,15.87270929,2.20003536,0.98617591,0.002909335
BULL-M.TA,405.348268,6.992531171,-173.7565974,6.109799234
CISY.TA,375033.1161,325.8636713,0.30065029,0.130053715
CLAB.TA,526.0816604,12.27979132,0.88926557,0.010638709
CAMT.TA,553891.2588,600.3057027,0.930314284,0.019979652
CANF.TA,0.04646691,0.138413188,0.77352086,0.062984778
CNGL.TA,787.3020593,20.60197246,0.884239829,0.018518128
CNTC.TA,14546569.12,1810.329593,-98.92269497,3.124183211
CNZN.TA,1225.166659,29.12422322,0.475418589,0.890346857
CPTP.TA,9.302166804,2.745275308,0.92577997,0.139013618
CRSM.TA,11542.25701,66.10872626,0.950651028,0.021538472
CRSR.TA,1034.098587,25.45197032,0.985486694,0.006377212
CRML.TA,825.6229619,22.66289064,0.978113908,0.011120752
CRMT.TA,2857.692323,26.86324919,0.964913036,0.628454908
CAST.TA,19966.85469,100.5409013,0.991961069,0.010049056
CEL.TA,3474.985311,39.73509543,0.969991948,0.016584256
CILO.TA,2916453.516,1173.013471,-145.2017219,3.104773091
CION.TA,69.67639665,7.386345463,-114669.9408,0.213833178
CPIA.TA,2.910740601,1.422002851,0.447862773,0.030520008
CTPL1.TA,321684041.9,14730.52323,-0.795203586,17.60166864
CTPL5.TA,4230077294,50647.10614,-0.928657873,4.015288923
CBI.TA,1.761021438,0.775089583,0.52870514,0.021080569
CLIS.TA,59500.14838,166.349636,0.972597722,0.017600832
CFX.TA,18.98833994,3.263698635,0.967242014,0.008483852
CDEV.TA,880983.7288,589.3454912,0.847157788,0.035710339
CGEN.TA,650.8642153,20.47882602,0.938116005,0.031199077
CMDR.TA,303397.6905,413.397124,0.987928641,0.011456616
CNTL-M.TA,103.7603794,7.505869497,0.887041994,3.015216408
CMCT.TA,109226372.6,8437.627125,-224.7312074,23.25052459
DANH.TA,13182.00154,86.8610864,-0.463320391,0.03744452
DANE.TA,86747.68005,237.8744644,0.993997807,0.006169891
DNYA.TA,41153.99876,163.4316194,0.964123463,0.013680577
DLEA.TA,689.894711,21.06203751,0.995879759,0.008381945
DLEKG.TA,844784.3801,844.1366697,0.976834425,0.01696868
DLTI.TA,9076.435881,47.54404357,0.95334471,0.006975033
DELG.TA,44640.59024,106.1698774,0.984740196,0.00551705
DIMRI.TA,1270092.017,402.8593916,0.642774621,0.011705764
DIPL.TA,3718.537036,52.45640045,0.99235038,0.010546706
DIFI.TA,115561.991,245.9919643,0.99371151,0.004192879
DSCT.TA,9172.995323,74.8440808,0.881441115,0.028490345
DISI.TA,84.37421748,8.048416163,0.979064379,0.018133531
DNA.TA,1.041998098,0.790495604,0.992954835,0.008701642
DRAL.TA,2311.98655,36.42349492,0.998601384,0.003891402
DORL.TA,153.6319172,10.87685865,0.979263312,0.008213303
DRSH.TA,4152.596199,51.96331297,0.506623136,0.031322056
DUNI.TA,415295.6919,545.8039885,0.943374774,0.021228657
ECNR.TA,2934.704829,44.36811801,0.928296727,0.016356344
EFCP.TA,16667.05381,92.72005461,-0.556716625,0.057698049
ELAL.TA,5889.816329,51.79246076,0.768982282,0.053368914
EMITF-M.TA,15.90381924,2.242109759,0.999005267,0.003494374
EMTC-M.TA,11.96138471,2.925115832,-0.137393329,0.150286414
ESLT.TA,37766237.82,4054.743818,0.824710898,0.037407101
ELCO.TA,11240.04215,64.90149071,0.997927784,0.004727781
ELDAV-M.TA,2.555752189,1.089234383,0.987902313,0.004302308
ECP.TA,9492.889833,77.03105938,0.997481062,0.008519069
ELCP.TA,45861.69844,63.50270586,0.522791318,0.027706177
ELCRE.TA,2260.132062,39.23243484,0.980102973,0.008514144
ELWS.TA,52175.54334,121.8277166,0.981006174,0.006058157
ELLO.TA,505.2279536,18.36801214,0.986998848,0.003160941
ELMR.TA,2113.894499,28.90590174,0.978140971,0.017410432
ELRN.TA,38.26058066,4.842571899,0.975670628,0.011342227
ELSPC.TA,296.6263244,10.49968597,0.982789253,0.012568184
EMCO.TA,477.7380465,19.7503707,0.926023202,0.021185111
