Company,Model,MSE,MAE,R2,MAPE,Final_Score,,,,
GOSS.TA,GRU,4.069831807,1.548555394,0.996952741,0.003195458,-1,,,,
GOTO.TA,XGBoost,12.92949532,2.688404649,-21.6607708,0.6046553043,-0.499984462,,,,
GPGB-M.TA,LightGBM,374099.494,270.5182076,-0.241030394,0.2207709658,-1,,,,
GRAC.TA,LightGBM,2.038661939,1.189857099,0.69860612,0.09687986629,-1,,,,
GSFI.TA,GRU,6938.484854,71.49623207,0.909610116,0.019484775,-1.035943404,,,,
GUID.TA,LSTM,1119.687953,18.16298558,0.980396111,1.176241519,-1.475504063,,,,
GVYM.TA,GRU,94.10504828,7.807041813,0.989428722,0.002599815,-1.304387449,,,,
HAMAT.TA,LSTM,577.0985191,16.7636949,0.990176805,0.010200348,-0.9965717882,,,,
HARL.TA,GRU,39292.3473,128.5895098,0.958214877,0.02250773,-0.9361144451,,,,
HDST-M.TA,XGBoost,0.043139224,0.176198618,-1.097289638,0.5006401102,-0.3180095323,,,,
HGG.TA,GRU,306.6906106,13.16303677,0.99792186,0.005793026,-0.7387464944,,,,
HGGE.TA,LSTM,193.2200997,9.723780398,0.942849921,0.014035949,-1.014635466,,,,
HICN.TA,LSTM,14128.49221,57.47031499,-12.94665115,1.196344833,-1.373918255,,,,
HIPR.TA,GRU,450.1330516,16.71144474,0.962881565,0.008839892,-1,,,,
HLAN.TA,GRU,13930.53819,98.64899706,0.993311975,0.00450581,-1.145617289,,,,
HLMS.TA,LSTM,115.914929,8.365538311,0.96165683,0.013718265,-1,,,,
HMAM.TA,LSTM,12.90657732,2.186304566,0.953678102,0.005568269,-0.7323427493,,,,
HMGS.TA,XGBoost,31876.42246,142.1085663,-0.815456185,1.311267519,-1,,,,
HOD.TA,LSTM,1097.516208,25.94762707,0.997241947,0.005616724,-1.346605242,,,,
HRON.TA,GRU,3491799.789,1084.092345,0.987143178,0.00465663,-0.9290221365,,,,
HUMX.TA,LSTM,45.08862747,5.096352675,-2.732772734,0.157436776,-0.9412875421,,,,
IARG.TA,GRU,21.15183777,2.900911865,0.768702318,0.035430332,-0.3906996058,,,,
ICL.TA,LSTM,112.3418127,8.014728199,0.998329848,0.004451315,-0.9946914667,,,,
ICON.TA,LSTM,211.2000999,13.65225967,-0.370383752,0.030696928,-0.8967590402,,,,
IDIN.TA,GRU,118295.5585,222.2797021,0.954995125,0.014358019,-0.7188239533,,,,
IDMO.TA,GRU,389.5493697,12.18585034,0.624785152,0.030626325,-0.9693452188,,,,
IDNT.TA,GRU,1887.42364,28.08809766,0.881845852,0.074433002,-1.009651724,,,,
IES.TA,GRU,35866.08826,98.98812183,0.993469363,0.004489103,-1.383185354,,,,
IGLD.TA,XGBoost,789.7153897,23.00632709,-520.8225263,3.965104639,-0.8503293289,,,,
ILCO.TA,GRU,517897.3455,557.8715036,0.996422255,0.005945618,-1,,,,
ILDC.TA,LSTM,117.9032586,8.677799587,0.997244456,0.002537972,-1.250922515,,,,
