Company,MSE,MAE,R2,MAPE
PMNT.TA,19.01383693,3.274144205,0.993153486,0.008358099
PAYT.TA,2590.990131,38.51455562,0.972984497,0.005594251
PAZ.TA,2161007.612,1038.741762,0.925054912,0.020563938
PCBT.TA,2619.466926,41.17909737,0.737873289,0.050593011
PEN.TA,1.924762162,1.147324153,0.996730156,0.005771647
PERI.TA,16846.60908,68.88018613,0.299304872,0.021702564
PTCH.TA,5.86387612,2.052090299,0.980885377,0.009967002
PTX.TA,223.3353787,7.179595266,0.771518143,0.123026811
PHOE.TA,177630.9072,279.5614636,0.801837075,0.045401487
PHTM.TA,760.5725971,20.01930246,0.962990274,0.006724607
PLNT.TA,10000.05492,54.51527279,-3.294526323,0.234835947
PLSN.TA,9597.193135,85.83944446,0.998799377,0.005080427
PLCR.TA,1244.012279,20.18870597,0.920028183,1.073778424
PPIL.TA,1023.539864,22.51792208,0.978318587,0.81308074
PLAZ-L.TA,112.0405263,6.701899714,0.975323445,0.472636337
PLUR.TA,97823.04715,297.7397508,-3.660194028,0.177461865
POLI.TA,12870.15459,92.3135767,0.939905192,0.020295282
POLY.TA,24210.14636,113.7586439,0.886223227,0.023354931
POLP.TA,95.21890269,8.600828929,0.98000515,0.006919711
PMVM.TA,687.4745793,16.28330856,0.454089846,0.080433775
PRSK.TA,31410.68817,150.4812825,0.968834652,0.013981923
PRIM.TA,2607.194318,30.28997439,0.970202818,0.025651209
PRMG.TA,615.2488514,17.13866434,0.838987341,0.011545139
PRTC.TA,42784.66943,152.1462954,0.982117464,0.00890556
PRPD.TA,123.9680042,8.33585414,0.943433117,0.004146901
PTBL.TA,53419.15459,198.8365306,0.982230521,0.007723671
PULS.TA,4462.073828,26.95130031,0.470244526,0.060917226
PPBT.TA,658.9386738,9.018205735,-105.8001883,1.086880195
QLTU.TA,11505985.03,2362.540524,0.52254006,0.0906171
QNCO.TA,164.6234028,7.436601236,0.983491051,0.013817453
QLRD.TA,1487.108889,23.72861375,0.975057009,0.006540919
RLCO.TA,7362.152743,72.21591799,0.986710762,0.014892981
RMN.TA,82.0902177,6.647676429,0.996193929,0.004597817
RMLI.TA,18152.91909,118.2709872,0.996143779,0.004846341
RANI.TA,9.107433707,2.387717703,0.998546799,0.006014636
RPAC.TA,490.8178533,15.82633962,0.998077437,0.004742772
RATI.TA,164.26225,9.876382907,0.920133586,0.025502789
RTPT.TA,1.781196381,1.217308245,0.909301066,0.039819409
BRIH.TA,0.96822214,0.747838999,0.98238994,0.00838064
RAVD.TA,10.7170288,2.758587177,0.994584201,0.003494065
RVL.TA,865.1358189,6.444747789,0.056351924,0.03224059
RAYG-M.TA,403.7738921,16.50679135,0.41100185,0.234539541
RZR.TA,1788.446345,41.66908709,0.352691827,0.079094641
RIT1.TA,23.46103778,3.936586839,0.999415404,0.002223873
AZRT.TA,56.7339847,5.459588842,0.988324193,0.012161366
REKA.TA,149.2220827,7.934170925,0.919537194,0.005641974
RTMD-L.TA,152.62357,7.910617888,0.398997442,0.339796157
RTLS.TA,6730.721863,61.87215748,0.985121308,0.007701745
RMON.TA,1461.652666,30.38268391,0.984059016,0.00651575
RIMO.TA,425.5398263,16.50273859,0.995429776,0.003355919
ROBO.TA,96.19079513,5.498103956,0.871976847,0.044148312
RTEN.TA,144.8211828,5.33010879,0.849159648,0.025515433
ROTS.TA,32976.54489,132.4370497,0.974476376,0.019536062
RSEL.TA,40933.06637,101.6201991,0.681990043,0.068475305
SRAC.TA,1111.524251,28.86542484,0.997947002,0.007220108
SANO1.TA,69072.98282,237.3166299,0.988912937,0.006997406
SPNS.TA,12141.44369,48.4932288,0.996379798,0.004447758
SRFT.TA,12300.94932,96.09913381,0.913412214,0.022710673
SARN.TA,0.32432937,0.416396661,0.94152152,0.006753603
SVRE.TA,5429.880272,43.9663483,-383.3563569,16.60373985
SVRT.TA,13336.73032,42.46910562,-2.871724945,0.112594379
SHNP.TA,277.4267683,12.15845374,0.995299098,0.007465775
SCDX.TA,14.31922212,3.157419089,0.987535702,0.008926257
SCOP.TA,5660.377739,57.20432124,0.998316269,0.004258923
SEMG.TA,29.01457286,4.403287863,0.98682984,0.015392288
SLARL.TA,196.1316337,12.30371163,0.979344453,0.013520593
SHGR.TA,1836.721667,40.01301912,0.954720904,0.031613398
SHMM.TA,27.49452689,3.464516477,0.900126666,0.023999975
SHAN.TA,44.70342282,5.300662268,0.992883393,0.011085788
SPEN.TA,316.4860597,15.5317194,0.995885186,0.005987848
SMNR.TA,394.2262425,16.05328744,0.99296262,0.009868396
SBEN.TA,3.316653709,1.432320214,0.981397217,0.005778213
SKBN.TA,96.21172208,7.465626073,0.997513773,0.006603978
SHOM.TA,51.86935977,6.142938927,0.99730301,0.008034227
SAE.TA,11166.42505,88.78641575,0.783716188,0.023952352
SKLN.TA,780.4251562,26.31402342,0.960335773,0.013784966
SLRM.TA,674.2675886,15.83462732,0.973283399,0.024980925
SMAG.TA,12712.22711,39.05279375,0.083639251,9.727216488
SOFW.TA,324.3512421,15.42038321,0.975778569,0.00915168
SOLR.TA,130.7639833,8.900767527,0.995665825,0.002492115
SONO.TA,347.9365832,15.86039131,-0.736792977,0.213758152
SCC.TA,50.44266003,3.504140335,-0.004225926,0.083234137
SPDV.TA,2101.507686,14.17656143,-0.001062592,1.200365673
SPRG.TA,3287.772405,54.57468542,0.860374151,0.390870602
SPNTC.TA,64.5224478,5.900200239,0.907153007,0.0142762
STG.TA,73157.39975,170.5328097,0.861771511,0.031310691
