,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Dividends Paid,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares
CANF.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CRSM.TA,"[1.89, 8.2, 0.8]","[1.89, 8.2, 0.8]","[1.89, 8.2, 0.8]","[1.89, 8.2, 0.8]","[1.89, 8.2, 0.8]","[1.89, 8.2, 0.8]","[1.89, 8.2, 0.8]","[1.89, 8.2, 0.8]","[1.89, 8.2, 0.8]","[1.89, 8.2, 0.8]","[1.89, 8.2, 0.8]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAST.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.19, -5.08, -16.26]","[-0.19, -5.08, -16.26]","[-0.19, -5.08, -16.26]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CBI.TA,"[None, None, None]","[1.07, 19.46, 40.93]","[1.07, 19.46, 40.93]","[None, None, None]","[None, None, None]","[None, None, None]","[1.07, 19.46, 40.93]","[1.07, 19.46, 40.93]","[None, None, None]","[1.07, 19.46, 40.93]","[1.07, 19.46, 40.93]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CLIS.TA,"[None, None, None]","[-1.38, 9.22, 1.24]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.38, 9.22, 1.24]","[None, None, None]","[-1.38, 9.22, 1.24]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CDEV.TA,"[4.35, 26.73, 10.62]","[4.35, 26.73, 10.62]","[4.35, 26.73, 10.62]","[None, None, None]","[4.35, 26.73, 10.62]","[4.35, 26.73, 10.62]","[4.35, 26.73, 10.62]","[4.35, 26.73, 10.62]","[4.35, 26.73, 10.62]","[4.35, 26.73, 10.62]","[4.35, 26.73, 10.62]","[4.35, 26.73, 10.62]","[None, None, None]","[None, None, None]","[None, None, None]"
DLEA.TA,"[1.52, 16.9, 3.69]","[1.52, 16.9, 3.69]","[1.52, 16.9, 3.69]","[1.52, 16.9, 3.69]","[1.52, 16.9, 3.69]","[None, None, None]","[None, None, None]","[1.52, 16.9, 3.69]","[1.52, 16.9, 3.69]","[1.52, 16.9, 3.69]","[None, None, None]","[None, None, None]","[1.52, 16.9, 3.69]","[1.52, 16.9, 3.69]","[None, None, None]"
DIMRI.TA,"[1.14, 7.46, 0.37]","[1.14, 7.46, 0.37]","[None, None, None]","[1.14, 7.46, 0.37]","[None, None, None]","[1.14, 7.46, 0.37]","[1.14, 7.46, 0.37]","[1.14, 7.46, 0.37]","[1.14, 7.46, 0.37]","[1.14, 7.46, 0.37]","[None, None, None]","[1.14, 7.46, 0.37]","[1.14, 7.46, 0.37]","[None, None, None]","[None, None, None]"
DISI.TA,"[1.72, 26.64, 12.1]","[1.72, 26.64, 12.1]","[None, None, None]","[None, None, None]","[None, None, None]","[1.72, 26.64, 12.1]","[1.72, 26.64, 12.1]","[1.72, 26.64, 12.1]","[1.72, 26.64, 12.1]","[1.72, 26.64, 12.1]","[1.72, 26.64, 12.1]","[None, None, None]","[1.72, 26.64, 12.1]","[1.72, 26.64, 12.1]","[None, None, None]"
DRAL.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[6.47, 2.58, -4.38]","[6.47, 2.58, -4.38]","[6.47, 2.58, -4.38]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
