,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Number of Outstanding Shares,Dividends Paid
MLRN.TA,"[None, None, None]","[0.82, 7.13, 14.64]","[0.82, 7.13, 14.64]","[None, None, None]","[0.82, 7.13, 14.64]","[None, None, None]","[None, None, None]","[None, None, None]","[0.82, 7.13, 14.64]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.82, 7.13, 14.64]","[0.82, 7.13, 14.64]"
MDIN.TA,"[0.2, 8.52, 26.12]","[0.2, 8.52, 26.12]","[0.2, 8.52, 26.12]","[None, None, None]","[0.2, 8.52, 26.12]","[0.2, 8.52, 26.12]","[None, None, None]","[None, None, None]","[None, None, None]","[0.2, 8.52, 26.12]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NXTM.TA,"[-0.56, -4.68, -1.21]","[-0.56, -4.68, -1.21]","[None, None, None]","[-0.56, -4.68, -1.21]","[-0.56, -4.68, -1.21]","[-0.56, -4.68, -1.21]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.56, -4.68, -1.21]","[None, None, None]"
NXFR.TA,"[3.23, -1.63, -5.06]","[3.23, -1.63, -5.06]","[3.23, -1.63, -5.06]","[3.23, -1.63, -5.06]","[3.23, -1.63, -5.06]","[3.23, -1.63, -5.06]","[None, None, None]","[None, None, None]","[3.23, -1.63, -5.06]","[3.23, -1.63, -5.06]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NICE.TA,"[2.07, 11.19, 13.23]","[2.07, 11.19, 13.23]","[2.07, 11.19, 13.23]","[2.07, 11.19, 13.23]","[2.07, 11.19, 13.23]","[2.07, 11.19, 13.23]","[None, None, None]","[2.07, 11.19, 13.23]","[2.07, 11.19, 13.23]","[2.07, 11.19, 13.23]","[2.07, 11.19, 13.23]","[2.07, 11.19, 13.23]","[2.07, 11.19, 13.23]","[2.07, 11.19, 13.23]","[None, None, None]"
NISA.TA,"[-0.86, -2.62, -5.92]","[-0.86, -2.62, -5.92]","[-0.86, -2.62, -5.92]","[-0.86, -2.62, -5.92]","[-0.86, -2.62, -5.92]","[-0.86, -2.62, -5.92]","[-0.86, -2.62, -5.92]","[-0.86, -2.62, -5.92]","[-0.86, -2.62, -5.92]","[-0.86, -2.62, -5.92]","[-0.86, -2.62, -5.92]","[-0.86, -2.62, -5.92]","[-0.86, -2.62, -5.92]","[None, None, None]","[None, None, None]"
NSTR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NVLG.TA,"[-1.64, -0.82, -1.48]","[-1.64, -0.82, -1.48]","[-1.64, -0.82, -1.48]","[-1.64, -0.82, -1.48]","[-1.64, -0.82, -1.48]","[-1.64, -0.82, -1.48]","[-1.64, -0.82, -1.48]","[-1.64, -0.82, -1.48]","[-1.64, -0.82, -1.48]","[None, None, None]","[-1.64, -0.82, -1.48]","[-1.64, -0.82, -1.48]","[-1.64, -0.82, -1.48]","[-1.64, -0.82, -1.48]","[None, None, None]"
OPCE.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.26, -4.0, -5.08]","[0.26, -4.0, -5.08]","[None, None, None]","[None, None, None]","[0.26, -4.0, -5.08]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
OPK.TA,"[0.39, -4.68, -7.65]","[0.39, -4.68, -7.65]","[0.39, -4.68, -7.65]","[None, None, None]","[0.39, -4.68, -7.65]","[0.39, -4.68, -7.65]","[None, None, None]","[None, None, None]","[0.39, -4.68, -7.65]","[0.39, -4.68, -7.65]","[None, None, None]","[None, None, None]","[None, None, None]","[0.39, -4.68, -7.65]","[None, None, None]"
ORAD.TA,"[-2.2, 0.81, 17.5]","[-2.2, 0.81, 17.5]","[-2.2, 0.81, 17.5]","[-2.2, 0.81, 17.5]","[-2.2, 0.81, 17.5]","[None, None, None]","[None, None, None]","[None, None, None]","[-2.2, 0.81, 17.5]","[-2.2, 0.81, 17.5]","[-2.2, 0.81, 17.5]","[-2.2, 0.81, 17.5]","[-2.2, 0.81, 17.5]","[None, None, None]","[None, None, None]"
ORMP.TA,"[1.31, 2.67, 49.58]","[1.31, 2.67, 49.58]","[1.31, 2.67, 49.58]","[None, None, None]","[1.31, 2.67, 49.58]","[1.31, 2.67, 49.58]","[None, None, None]","[None, None, None]","[1.31, 2.67, 49.58]","[None, None, None]","[1.31, 2.67, 49.58]","[1.31, 2.67, 49.58]","[1.31, 2.67, 49.58]","[1.31, 2.67, 49.58]","[None, None, None]"
ORIN.TA,"[2.0, 4.12, 5.26]","[2.0, 4.12, 5.26]","[None, None, None]","[2.0, 4.12, 5.26]","[2.0, 4.12, 5.26]","[2.0, 4.12, 5.26]","[2.0, 4.12, 5.26]","[2.0, 4.12, 5.26]","[2.0, 4.12, 5.26]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
OVRS.TA,"[-1.19, -0.68, -1.28]","[-1.19, -0.68, -1.28]","[-1.19, -0.68, -1.28]","[-1.19, -0.68, -1.28]","[-1.19, -0.68, -1.28]","[-1.19, -0.68, -1.28]","[-1.19, -0.68, -1.28]","[-1.19, -0.68, -1.28]","[-1.19, -0.68, -1.28]","[None, None, None]","[-1.19, -0.68, -1.28]","[-1.19, -0.68, -1.28]","[-1.19, -0.68, -1.28]","[None, None, None]","[None, None, None]"
PLRM.TA,"[-0.45, 2.92, 31.44]","[-0.45, 2.92, 31.44]","[None, None, None]","[-0.45, 2.92, 31.44]","[-0.45, 2.92, 31.44]","[-0.45, 2.92, 31.44]","[None, None, None]","[None, None, None]","[-0.45, 2.92, 31.44]","[-0.45, 2.92, 31.44]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.45, 2.92, 31.44]"
PAZ.TA,"[-1.04, 7.12, 5.71]","[None, None, None]","[None, None, None]","[-1.04, 7.12, 5.71]","[-1.04, 7.12, 5.71]","[-1.04, 7.12, 5.71]","[-1.04, 7.12, 5.71]","[None, None, None]","[-1.04, 7.12, 5.71]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PERI.TA,"[2.64, -7.84, 4.6]","[2.64, -7.84, 4.6]","[2.64, -7.84, 4.6]","[None, None, None]","[2.64, -7.84, 4.6]","[2.64, -7.84, 4.6]","[None, None, None]","[None, None, None]","[2.64, -7.84, 4.6]","[2.64, -7.84, 4.6]","[2.64, -7.84, 4.6]","[2.64, -7.84, 4.6]","[2.64, -7.84, 4.6]","[2.64, -7.84, 4.6]","[None, None, None]"
PTCH.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.5, 13.39, -2.68]","[0.5, 13.39, -2.68]","[None, None, None]","[None, None, None]","[0.5, 13.39, -2.68]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PHOE.TA,"[None, None, None]","[1.62, 0.1, 13.06]","[None, None, None]","[None, None, None]","[1.62, 0.1, 13.06]","[1.62, 0.1, 13.06]","[None, None, None]","[1.62, 0.1, 13.06]","[1.62, 0.1, 13.06]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
PLCR.TA,"[-0.97, 7.86, 4.09]","[-0.97, 7.86, 4.09]","[-0.97, 7.86, 4.09]","[-0.97, 7.86, 4.09]","[-0.97, 7.86, 4.09]","[-0.97, 7.86, 4.09]","[None, None, None]","[None, None, None]","[-0.97, 7.86, 4.09]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.97, 7.86, 4.09]"
PPIL.TA,"[0.0, 3.04, -1.42]","[0.0, 3.04, -1.42]","[0.0, 3.04, -1.42]","[0.0, 3.04, -1.42]","[0.0, 3.04, -1.42]","[0.0, 3.04, -1.42]","[0.0, 3.04, -1.42]","[0.0, 3.04, -1.42]","[0.0, 3.04, -1.42]","[0.0, 3.04, -1.42]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.04, -1.42]","[None, None, None]"
PLUR.TA,"[None, None, None]","[4.89, -7.14, -19.99]","[4.89, -7.14, -19.99]","[None, None, None]","[4.89, -7.14, -19.99]","[4.89, -7.14, -19.99]","[None, None, None]","[None, None, None]","[4.89, -7.14, -19.99]","[4.89, -7.14, -19.99]","[4.89, -7.14, -19.99]","[4.89, -7.14, -19.99]","[4.89, -7.14, -19.99]","[4.89, -7.14, -19.99]","[None, None, None]"
