,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
BCOM.TA,"[0.35, 10.22, 21.7]","[0.35, 10.22, 21.7]","[0.35, 10.22, 21.7]","[0.35, 10.22, 21.7]","[None, None, None]","[0.35, 10.22, 21.7]","[0.35, 10.22, 21.7]","[0.35, 10.22, 21.7]"
BIG.TA,"[-0.9, 6.57, 22.95]","[-0.9, 6.57, 22.95]","[-0.9, 6.57, 22.95]","[-0.9, 6.57, 22.95]","[-0.9, 6.57, 22.95]","[-0.9, 6.57, 22.95]","[-0.9, 6.57, 22.95]","[-0.9, 6.57, 22.95]"
BOLT.TA,"[-1.38, 2.82, 9.36]","[-1.38, 2.82, 9.36]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BLSR.TA,"[-1.24, 1.61, 13.54]","[-1.24, 1.61, 13.54]","[-1.24, 1.61, 13.54]","[-1.24, 1.61, 13.54]","[-1.24, 1.61, 13.54]","[-1.24, 1.61, 13.54]","[-1.24, 1.61, 13.54]","[-1.24, 1.61, 13.54]"
BONS.TA,"[-0.65, -6.9, -18.68]","[-0.65, -6.9, -18.68]","[None, None, None]","[-0.65, -6.9, -18.68]","[None, None, None]","[-0.65, -6.9, -18.68]","[-0.65, -6.9, -18.68]","[None, None, None]"
BWAY.TA,"[-0.34, 16.45, 17.58]","[-0.34, 16.45, 17.58]","[-0.34, 16.45, 17.58]","[-0.34, 16.45, 17.58]","[-0.34, 16.45, 17.58]","[-0.34, 16.45, 17.58]","[-0.34, 16.45, 17.58]","[None, None, None]"
BLGO.TA,"[-0.21, -3.44, -0.83]","[-0.21, -3.44, -0.83]","[-0.21, -3.44, -0.83]","[-0.21, -3.44, -0.83]","[None, None, None]","[-0.21, -3.44, -0.83]","[-0.21, -3.44, -0.83]","[None, None, None]"
CLAB.TA,"[0.11, 3.02, 8.86]","[0.11, 3.02, 8.86]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAMT.TA,"[-1.53, -9.34, -18.99]","[-1.53, -9.34, -18.99]","[-1.53, -9.34, -18.99]","[-1.53, -9.34, -18.99]","[-1.53, -9.34, -18.99]","[-1.53, -9.34, -18.99]","[-1.53, -9.34, -18.99]","[-1.53, -9.34, -18.99]"
CPTP.TA,"[0.0, -4.14, 7.26]","[0.0, -4.14, 7.26]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
