,Revenue,Net Income,Earnings Per Share (EPS),Total Assets,Long-Term Debt,Gross Profit,Operating Income (EBIT),Number of Outstanding Shares
ASHG.TA,"[0.0, 1.83, -11.02]","[0.0, 1.83, -11.02]","[None, None, None]","[0.0, 1.83, -11.02]","[0.0, 1.83, -11.02]","[0.0, 1.83, -11.02]","[0.0, 1.83, -11.02]","[None, None, None]"
AVGL.TA,"[0.0, 1.13, -9.08]","[0.0, 1.13, -9.08]","[0.0, 1.13, -9.08]","[0.0, 1.13, -9.08]","[0.0, 1.13, -9.08]","[0.0, 1.13, -9.08]","[0.0, 1.13, -9.08]","[None, None, None]"
AVIA.TA,"[None, None, None]","[None, None, None]","[0.0, 9.37, 17.58]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[0.0, -0.32, -3.84]","[0.0, -0.32, -3.84]","[0.0, -0.32, -3.84]","[0.0, -0.32, -3.84]","[0.0, -0.32, -3.84]","[0.0, -0.32, -3.84]","[0.0, -0.32, -3.84]","[0.0, -0.32, -3.84]"
BCOM.TA,"[0.0, -9.02, -22.7]","[0.0, -9.02, -22.7]","[None, None, None]","[0.0, -9.02, -22.7]","[None, None, None]","[None, None, None]","[0.0, -9.02, -22.7]","[None, None, None]"
BONS.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -2.49, -9.68]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAMT.TA,"[0.0, 6.96, 26.72]","[0.0, 6.96, 26.72]","[0.0, 6.96, 26.72]","[0.0, 6.96, 26.72]","[0.0, 6.96, 26.72]","[0.0, 6.96, 26.72]","[0.0, 6.96, 26.72]","[0.0, 6.96, 26.72]"
CLIS.TA,"[0.0, 5.59, 0.0]","[0.0, 5.59, 0.0]","[None, None, None]","[0.0, 5.59, 0.0]","[0.0, 5.59, 0.0]","[None, None, None]","[None, None, None]","[None, None, None]"
CGEN.TA,"[None, None, None]","[0.0, 3.63, 30.03]","[0.0, 3.63, 30.03]","[0.0, 3.63, 30.03]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.63, 30.03]"
DANH.TA,"[0.0, 4.72, 6.44]","[0.0, 4.72, 6.44]","[0.0, 4.72, 6.44]","[0.0, 4.72, 6.44]","[None, None, None]","[0.0, 4.72, 6.44]","[0.0, 4.72, 6.44]","[None, None, None]"
DELG.TA,"[0.0, -0.17, -1.31]","[0.0, -0.17, -1.31]","[0.0, -0.17, -1.31]","[0.0, -0.17, -1.31]","[0.0, -0.17, -1.31]","[0.0, -0.17, -1.31]","[0.0, -0.17, -1.31]","[None, None, None]"
DIPL.TA,"[0.0, -11.62, -11.71]","[0.0, -11.62, -11.71]","[0.0, -11.62, -11.71]","[0.0, -11.62, -11.71]","[None, None, None]","[0.0, -11.62, -11.71]","[0.0, -11.62, -11.71]","[None, None, None]"
DISI.TA,"[None, None, None]","[0.0, 4.93, -17.01]","[None, None, None]","[0.0, 4.93, -17.01]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ESLT.TA,"[0.0, 4.06, 15.24]","[0.0, 4.06, 15.24]","[0.0, 4.06, 15.24]","[0.0, 4.06, 15.24]","[0.0, 4.06, 15.24]","[0.0, 4.06, 15.24]","[0.0, 4.06, 15.24]","[0.0, 4.06, 15.24]"
ELCRE.TA,"[0.0, 12.96, 12.89]","[0.0, 12.96, 12.89]","[0.0, 12.96, 12.89]","[0.0, 12.96, 12.89]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELWS.TA,"[0.0, 0.24, 83.87]","[0.0, 0.24, 83.87]","[0.0, 0.24, 83.87]","[0.0, 0.24, 83.87]","[None, None, None]","[0.0, 0.24, 83.87]","[0.0, 0.24, 83.87]","[None, None, None]"
ELLO.TA,"[0.0, 11.89, 15.53]","[0.0, 11.89, 15.53]","[0.0, 11.89, 15.53]","[0.0, 11.89, 15.53]","[0.0, 11.89, 15.53]","[0.0, 11.89, 15.53]","[0.0, 11.89, 15.53]","[None, None, None]"
ENLV.TA,"[None, None, None]","[0.0, -2.37, -13.09]","[0.0, -2.37, -13.09]","[0.0, -2.37, -13.09]","[None, None, None]","[None, None, None]","[0.0, -2.37, -13.09]","[0.0, -2.37, -13.09]"
EQTL.TA,"[0.0, -0.15, 2.48]","[0.0, -0.15, 2.48]","[None, None, None]","[0.0, -0.15, 2.48]","[None, None, None]","[None, None, None]","[0.0, -0.15, 2.48]","[None, None, None]"
FTAL.TA,"[0.0, 2.33, 9.24]","[0.0, 2.33, 9.24]","[0.0, 2.33, 9.24]","[0.0, 2.33, 9.24]","[0.0, 2.33, 9.24]","[0.0, 2.33, 9.24]","[0.0, 2.33, 9.24]","[None, None, None]"
FRSX.TA,"[0.0, -8.07, -10.52]","[0.0, -8.07, -10.52]","[0.0, -8.07, -10.52]","[0.0, -8.07, -10.52]","[None, None, None]","[0.0, -8.07, -10.52]","[0.0, -8.07, -10.52]","[None, None, None]"
FORTY.TA,"[0.0, -0.32, 3.15]","[0.0, -0.32, 3.15]","[0.0, -0.32, 3.15]","[0.0, -0.32, 3.15]","[0.0, -0.32, 3.15]","[0.0, -0.32, 3.15]","[0.0, -0.32, 3.15]","[0.0, -0.32, 3.15]"
GCT.TA,"[0.0, 10.22, 8.08]","[0.0, 10.22, 8.08]","[0.0, 10.22, 8.08]","[0.0, 10.22, 8.08]","[None, None, None]","[None, None, None]","[0.0, 10.22, 8.08]","[None, None, None]"
GNRS.TA,"[None, None, None]","[0.0, -2.49, -6.16]","[0.0, -2.49, -6.16]","[0.0, -2.49, -6.16]","[0.0, -2.49, -6.16]","[None, None, None]","[None, None, None]","[0.0, -2.49, -6.16]"
GLTL.TA,"[0.0, 11.34, 17.97]","[0.0, 11.34, 17.97]","[0.0, 11.34, 17.97]","[0.0, 11.34, 17.97]","[0.0, 11.34, 17.97]","[0.0, 11.34, 17.97]","[0.0, 11.34, 17.97]","[0.0, 11.34, 17.97]"
GOHO.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 6.79, 6.67]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 6.79, 6.67]"
MSBI.TA,"[None, None, None]","[None, None, None]","[0.0, 2.89, 1.13]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 2.89, 1.13]"
