,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
UTRN.TA,"[0.9522, 0.901, 0.9774]","[0.9522, 0.901, 0.9774]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
VRDS.TA,"[0.9907, 0.9426, 0.9733]","[0.9907, 0.9426, 0.9733]","[0.9768, 0.9752, 0.9408]","[0.1917, 0.1437, 0.2277]","[0.1973, 0.1493, 0.2333]","[-1.0, -1.0, -1.0]","[0.9942, 0.9462, 0.9698]","[0.9481, 0.9001, 0.9841]"
VCTR.TA,"[0.9952, 0.9438, 0.9769]","[0.9952, 0.9438, 0.9769]","[0.9603, 0.9882, 0.9787]","[0.8452, 0.7938, 0.8268]","[0.9594, 0.9892, 0.9777]","[0.9832, 0.9318, 0.9649]","[0.9924, 0.941, 0.9741]","[0.9981, 0.9467, 0.9798]"
VISN.TA,"[1.0, 0.4748, 0.0097]","[1.0, 0.4748, 0.0097]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
VTNA.TA,"[0.9956, 0.9821, 0.9836]","[0.9956, 0.9821, 0.9836]","[0.5648, 0.5783, 0.5768]","[-0.514, -0.5005, -0.502]","[0.7523, 0.7658, 0.7643]","[0.6599, 0.6734, 0.6719]","[0.9721, 0.9857, 0.9841]","[0.9356, 0.9491, 0.9476]"
WILC.TA,"[0.9891, 0.9881, 0.9349]","[0.9891, 0.9881, 0.9349]","[0.9328, 0.9338, 0.987]","[0.3582, 0.3572, 0.304]","[0.6856, 0.6866, 0.7398]","[0.8186, 0.8176, 0.7644]","[0.9627, 0.9637, 0.9831]","[None, None, None]"
XTLB.TA,"[0.9707, 0.9093, 0.9402]","[0.9707, 0.9093, 0.9402]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[-0.435, -0.4964, -0.3459]","[0.7897, 0.7283, 0.8788]","[None, None, None]"
YBOX.TA,"[0.9911, 0.998, 0.9656]","[0.9911, 0.998, 0.9656]","[0.9437, 0.9506, 0.9869]","[0.6015, 0.6083, 0.6447]","[0.8016, 0.8085, 0.8448]","[0.623, 0.6299, 0.6662]","[0.9866, 0.9797, 0.9434]","[0.991, 0.9841, 0.9477]"
ZNKL.TA,"[0.9923, 0.9361, 0.8314]","[0.9923, 0.9361, 0.8314]","[0.9707, 0.9731, 0.8684]","[0.9688, 0.9127, 0.8079]","[0.9587, 0.9851, 0.8804]","[0.977, 0.9208, 0.8161]","[0.989, 0.9328, 0.8281]","[0.6332, 0.577, 0.4723]"
ZOOZ.TA,"[0.9468, 0.7188, 0.605]","[0.9468, 0.7188, 0.605]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ZUR.TA,"[0.9947, 0.9336, 0.9819]","[0.9947, 0.9336, 0.9819]","[0.9705, 0.9684, 0.9833]","[-0.0072, -0.0684, -0.0201]","[0.941, 0.9978, 0.9539]","[0.8807, 0.9419, 0.8936]","[0.9801, 0.9587, 0.993]","[None, None, None]"
