,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
ESLT.TA,"[0.9521, 0.9899, 0.9095]","[0.9046, 0.8668, 0.7661]","[0.9053, 0.8675, 0.7668]","[0.9283, 0.9661, 0.9332]","[0.9523, 0.9901, 0.9092]","[-0.8181, -0.7803, -0.6797]","[0.6306, 0.5928, 0.4921]","[0.9608, 0.9986, 0.9007]","[0.9429, 0.9051, 0.8044]","[0.9997, 0.9625, 0.8618]","[0.9254, 0.8876, 0.7869]","[0.8892, 0.927, 0.9723]","[0.373, 0.4108, 0.5115]","[0.6535, 0.6913, 0.792]","[0.9985, 0.9636, 0.863]"
ELCO.TA,"[0.3405, 0.3422, 0.4291]","[0.313, 0.3146, 0.4015]","[0.3222, 0.3239, 0.4108]","[None, None, None]","[0.9098, 0.9115, 0.9984]","[None, None, None]","[None, None, None]","[0.9563, 0.958, 0.9551]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9972, 0.9988, 0.9143]","[None, None, None]"
ELTR.TA,"[0.4632, 0.4671, 0.5353]","[0.5502, 0.5542, 0.6223]","[None, None, None]","[0.517, 0.5209, 0.589]","[0.8614, 0.8653, 0.9334]","[None, None, None]","[None, None, None]","[0.9953, 0.9913, 0.9232]","[0.4688, 0.4649, 0.3968]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ECP.TA,"[0.0086, -0.0498, 0.0242]","[0.3586, 0.3003, 0.3742]","[None, None, None]","[-0.0696, -0.1279, -0.054]","[0.9813, 0.923, 0.997]","[None, None, None]","[None, None, None]","[0.9556, 0.8973, 0.9712]","[0.4113, 0.353, 0.4269]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELCP.TA,"[0.0102, 0.0191, 0.0679]","[0.0125, 0.0214, 0.0702]","[None, None, None]","[None, None, None]","[0.0096, 0.0185, 0.0673]","[0.0095, 0.0185, 0.0672]","[None, None, None]","[0.0096, 0.0185, 0.0673]","[None, None, None]","[0.0121, 0.021, 0.0698]","[0.0109, 0.0198, 0.0686]","[-0.0062, -0.0152, -0.0639]","[None, None, None]","[None, None, None]","[None, None, None]"
ELCRE.TA,"[None, None, None]","[-0.0286, -0.0043, 0.1998]","[None, None, None]","[None, None, None]","[0.7823, 0.8067, 0.9892]","[None, None, None]","[None, None, None]","[0.8031, 0.8274, 0.9685]","[None, None, None]","[0.8024, 0.8267, 0.9692]","[0.4871, 0.4628, 0.2587]","[-0.0908, -0.0665, 0.1376]","[None, None, None]","[-0.6643, -0.6399, -0.4358]","[None, None, None]"
EMDV.TA,"[0.4927, 0.4292, 0.4462]","[0.9578, 0.8943, 0.9113]","[None, None, None]","[0.5141, 0.4506, 0.4676]","[0.9894, 0.9259, 0.9428]","[0.9931, 0.9434, 0.9603]","[None, None, None]","[0.4841, 0.4206, 0.4375]","[0.539, 0.4756, 0.4925]","[0.9982, 0.9347, 0.9517]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9726, 0.9639, 0.9808]","[0.9982, 0.9347, 0.9517]"
ENRG.TA,"[0.9976, 0.9476, 0.9524]","[0.9976, 0.9476, 0.9524]","[0.9848, 0.93, 0.9348]","[0.9976, 0.9476, 0.9524]","[0.9234, 0.9781, 0.9734]","[0.8693, 0.9241, 0.9193]","[0.1544, 0.0997, 0.1044]","[0.9536, 0.8989, 0.9036]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.5725, 0.5177, 0.5225]","[None, None, None]","[None, None, None]"
ENLT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENLV.TA,"[None, None, None]","[0.8882, 0.9493, 0.998]","[0.8722, 0.9652, 0.982]","[None, None, None]","[0.9788, 0.8163, 0.869]","[-0.0144, -0.1769, -0.1242]","[None, None, None]","[0.9664, 0.8711, 0.9239]","[0.9752, 0.8623, 0.915]","[0.3675, 0.53, 0.4773]","[0.7078, 0.5453, 0.598]","[0.991, 0.8465, 0.8992]","[None, None, None]","[None, None, None]","[0.9912, 0.8463, 0.899]"
EQTL.TA,"[0.9856, 0.9826, 0.86]","[0.8876, 0.9194, 0.958]","[None, None, None]","[None, None, None]","[0.9548, 0.9867, 0.8908]","[-1.0, -1.0, -1.0]","[None, None, None]","[-0.6006, -0.5688, -0.4462]","[0.7185, 0.6867, 0.5642]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
