,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Number of Outstanding Shares,Dividends Paid
REKA.TA,310.45,474.0,493.75,339.91,2.02,56.27,12.43,9.17,-1.32,425.13,-19.46,14.65,-30.11,,
RTEN.TA,115.61,96.92,0.0,113.54,,,,,,101.45,,,,,
SPNS.TA,4.39,5.2,5.56,5.35,-0.29,1.05,0.0,0.04,-1.37,6.54,228.37,376.12,-100.28,-0.03,
SCOP.TA,17.32,67.3,68.08,31.48,1.27,2.59,,,-1.99,61.15,139.12,-143.02,-126.41,,
SLARL.TA,63327.83,234379.68,,,344536.98,488174.54,73640.61,1592067.02,4908986.84,292050.27,36372.77,-9699566.3,-6492.59,1016680.0,
SHGR.TA,316.63,250.09,,323.63,13.34,-3.39,,,54.31,246.49,100.99,0.12,-121.64,,
SKBN.TA,110.28,-39.43,,112.96,7.24,-32.16,,,-1.78,68.85,,,,,
SHOM.TA,,0.0,0.0,,16.14,15.82,,,17.47,,,,,,0.0
SAE.TA,95.3,85.09,80.43,98.62,-2.62,-0.74,,,3.16,92.93,24.49,-34.62,-45.59,,0.0
SKLN.TA,84.6,1423.23,500.0,,1.78,1.06,3.08,-6.34,2.68,,375.7,-187.26,-501.82,,
STRS.TA,103.44,61.17,-38.98,,0.0,,,,,73.36,,,,,
TDRN.TA,133.62,133.2,134.14,134.36,7.45,10.52,-0.12,-28.51,4.11,144.66,,,,,200.0
TMRP.TA,97.29,295.96,275.0,,1.21,1.33,,,0.86,,55.02,-1.68,-11.48,0.0,
TAYA.TA,87.62,42.5,,,0.99,0.87,,,0.77,,2300.0,612.5,-128.57,0.0,
TFRLF.TA,117.83,29.62,26.67,134.05,1.68,,,,15.47,,198.08,41.24,-195.21,,
ILCO.TA,106986.09,119900.0,,,104977.77,154215.57,,,108713.32,,,,,,
TIGBUR.TA,99.16,113.94,118.64,118.49,1.12,-15.29,15.72,2050.73,15.94,112.39,994.95,63.78,-219.63,0.0,-336.36
TOPS.TA,247.26,217.36,214.29,250.1,3.98,,-1.2,7.6,6.67,222.47,,,,,
TSEM.TA,104.3,102.63,111.54,105.64,2.63,2.53,2.73,-2.95,2.68,104.69,106.68,-143.53,-68.14,0.26,
UNIT.TA,117.92,155.07,154.82,128.78,-1.01,-23.55,,,-6.23,,70.93,-26.73,-221.71,,
VCTR.TA,97.36,90.02,,97.41,-1.11,-32.78,,,0.63,,7.9,-119.06,-159.91,,
VILR.TA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.08,,
VTNA.TA,115.19,,,120.49,-0.71,,4.71,-3.13,0.94,,94.64,-142.02,-784.23,,0.0
WLFD.TA,289.08,153.08,,301.21,1.59,,,,-3.33,280.17,1476.55,-270.77,8713.14,0.0,
WILC.TA,,,,,,,,,,,,,,0.0,
YBOX.TA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-520.82,-83.39,2533.71,,
ZUR.TA,,,,,0.0,65.42,,,0.0,,,,,0.22,100.0
